_id,_key,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,direction,position
stops/11839,11839,11839,N Interstate & Albina,north interstate & al-beina,Northbound stop in Portland (Stop ID 11839),45.539549,-122.675234,B,http://trimet.org/#tracker/stop/11839,0,,North,Farside
stops/11840,11840,11840,N Interstate & Tillamook,"north interstate & ,till-a-mook",Northbound stop in Portland (Stop ID 11840),45.538115,-122.674426,B,http://trimet.org/#tracker/stop/11840,0,,North,Farside
stops/11844,11844,11844,N Interstate & Tillamook,"north interstate & ,till-a-mook",Southbound stop in Portland (Stop ID 11844),45.538047,-122.674731,B,http://trimet.org/#tracker/stop/11844,0,,South,Nearside
stops/11845,11845,11845,N Interstate & Larrabee,north interstate & larrabee,Southbound stop in Portland (Stop ID 11845),45.532205,-122.671298,B,http://trimet.org/#tracker/stop/11845,0,,South,Nearside
stops/11846,11846,11846,Molalla & Garden Meadow,molalla & garden meadow,Southbound stop in Oregon City (Stop ID 11846),45.327597,-122.583448,B,http://trimet.org/#tracker/stop/11846,0,,South,Farside
stops/11849,11849,11849,9500 Block N Columbia Blvd,ninety-five-hundred block north columbia blvd,Southbound stop in Portland (Stop ID 11849),45.608596,-122.759341,B,http://trimet.org/#tracker/stop/11849,0,,South,Opposite
stops/11850,11850,11850,9500 Block N Columbia Blvd,ninety-five-hundred block north columbia blvd,Northbound stop in Portland (Stop ID 11850),45.608505,-122.758927,B,http://trimet.org/#tracker/stop/11850,0,,North,At
stops/11851,11851,11851,SW Hocken & Cedar Hills Xing Entrance,southwest hocken & cedar hills xing entrance,Northbound stop in Beaverton (Stop ID 11851),45.496026,-122.812391,B,http://trimet.org/#tracker/stop/11851,0,,North,At
stops/11852,11852,11852,SW Hocken & Cedar Hills Xing Entrance,southwest hocken & cedar hills xing entrance,Southbound stop in Beaverton (Stop ID 11852),45.495942,-122.812615,B,http://trimet.org/#tracker/stop/11852,0,,South,Opposite
stops/11915,11915,11915,NW Everett & Broadway,northwest everett & broadway,Eastbound stop in Portland (Stop ID 11915),45.525119,-122.677631,B,http://trimet.org/#tracker/stop/11915,0,,East,Nearside
stops/11920,11920,11920,SE Powell & 57th,southeast powell & 57th,Eastbound stop in Portland (Stop ID 11920),45.497385,-122.604775,B,http://trimet.org/#tracker/stop/11920,0,,East,Nearside
stops/11921,11921,11921,SE Powell & 62nd,southeast powell & 62nd,Eastbound stop in Portland (Stop ID 11921),45.497381,-122.599036,B,http://trimet.org/#tracker/stop/11921,0,,East,Farside
stops/11922,11922,11922,SE Powell & 75th,southeast powell & 75th,Eastbound stop in Portland (Stop ID 11922),45.497337,-122.585473,B,http://trimet.org/#tracker/stop/11922,0,,East,Opposite
stops/11923,11923,11923,SE Powell & 75th,southeast powell & 75th,Westbound stop in Portland (Stop ID 11923),45.497528,-122.586191,B,http://trimet.org/#tracker/stop/11923,0,,West,Farside
stops/11924,11924,11924,SE Powell & 65th,southeast powell & 65th,Westbound stop in Portland (Stop ID 11924),45.497563,-122.597165,B,http://trimet.org/#tracker/stop/11924,0,,West,Farside
stops/11925,11925,11925,SE Powell & 55th,southeast powell & 55th,Westbound stop in Portland (Stop ID 11925),45.497565,-122.606316,B,http://trimet.org/#tracker/stop/11925,0,,West,Farside
stops/11926,11926,11926,SE Bob Schumacher & Monterey,southeast bob schumacher & monterey,Southbound stop in Clackamas Co. (Stop ID 11926),45.437803,-122.566898,B,http://trimet.org/#tracker/stop/11926,0,,South,Farside
stops/11927,11927,11927,SE Bob Schumacher & Monterey,southeast bob schumacher & monterey,Northbound stop in Clackamas Co. (Stop ID 11927),45.437322,-122.566417,B,http://trimet.org/#tracker/stop/11927,0,,North,Nearside
stops/11928,11928,11928,SE Sunnyside & Sunnybrook,southeast sunnyside & sunnybrook,Westbound stop in Clackamas Co. (Stop ID 11928),45.43384,-122.551781,B,http://trimet.org/#tracker/stop/11928,0,,West,Opposite
stops/11929,11929,11929,SE Sunnyside & 105th,southeast sunnyside & 105th,Westbound stop in Clackamas Co. (Stop ID 11929),45.433785,-122.555089,B,http://trimet.org/#tracker/stop/11929,0,,West,Nearside
stops/11930,11930,11930,12700 Block SE Hwy 212,12700 block southeast highway two twelve,Eastbound stop in Happy Valley (Stop ID 11930),45.408291,-122.532945,B,http://trimet.org/#tracker/stop/11930,0,,East,At
stops/11931,11931,11931,12700 Block SE Hwy 212,12700 block southeast highway two twelve,Westbound stop in Happy Valley (Stop ID 11931),45.408509,-122.533027,B,http://trimet.org/#tracker/stop/11931,0,,West,Opposite
stops/11932,11932,11932,Molalla & Mountain View,molalla & mountain view,Northbound stop in Oregon City (Stop ID 11932),45.343837,-122.596085,B,http://trimet.org/#tracker/stop/11932,0,,North,Opposite
stops/11933,11933,11933,Molalla & Mountain View,molalla & mountain view,Southbound stop in Oregon City (Stop ID 11933),45.344002,-122.59641,B,http://trimet.org/#tracker/stop/11933,0,,South,Nearside
stops/11934,11934,11934,N Ivanhoe & New York,north ivanhoe & new york,Northbound stop in Portland (Stop ID 11934),45.592164,-122.757933,B,http://trimet.org/#tracker/stop/11934,0,,North,Farside
stops/11935,11935,11935,N Ivanhoe & Chicago,north ivanhoe & chicago,Southbound stop in Portland (Stop ID 11935),45.59136,-122.757363,B,http://trimet.org/#tracker/stop/11935,0,,South,Nearside
stops/11936,11936,11936,N St Louis & Central,north saint louis & central,Eastbound stop in Portland (Stop ID 11936),45.593867,-122.755506,B,http://trimet.org/#tracker/stop/11936,0,,East,Nearside
stops/11939,11939,11939,Sunset Transit Center,sunset transit center,Westbound stop in Beaverton (Stop ID 11939),45.510221,-122.782164,B,http://trimet.org/#tracker/stop/11939,0,,West,At
stops/11944,11944,11944,16800 Block SW 72nd,16800 block southwest 72nd,Northbound stop in Tigard (Stop ID 11944),45.397666,-122.749002,B,http://trimet.org/#tracker/stop/11944,0,,North,At
stops/11945,11945,11945,17000 Block SW 72nd,17000 block southwest 72nd,Southbound stop in Tigard (Stop ID 11945),45.397155,-122.749741,B,http://trimet.org/#tracker/stop/11945,0,,South,At
