_from,_to,transfer_type
stops/1187,stops/1188,0
stops/1188,stops/1187,0
stops/1196,stops/1196,0
stops/1196,stops/1199,0
stops/1199,stops/1196,0
stops/1199,stops/1199,0
stops/1214,stops/1214,0
stops/1218,stops/1218,0
stops/1220,stops/3138,0
stops/1226,stops/1225,0
stops/1226,stops/1226,0
stops/1226,stops/1230,0
stops/1229,stops/1226,0
stops/1230,stops/1230,0
stops/1230,stops/3127,0
stops/1259,stops/4462,0
stops/1259,stops/4463,0
stops/1273,stops/1273,0
stops/1273,stops/5903,0
stops/1273,stops/5904,0
stops/1277,stops/6780,0
stops/1277,stops/6794,0
stops/1278,stops/6780,0
stops/1278,stops/6794,0
stops/1285,stops/1286,0
stops/1285,stops/7240,0
stops/1286,stops/1285,0
stops/1286,stops/1286,0
stops/1286,stops/7240,0
stops/1289,stops/7369,0
stops/1289,stops/7370,0
stops/1290,stops/7369,0
stops/1290,stops/7370,0
stops/1293,stops/1293,0
stops/1293,stops/5903,0
stops/1293,stops/5904,0
stops/1331,stops/1332,0
stops/1331,stops/1572,0
stops/1331,stops/8356,0
stops/1331,stops/8361,0
stops/1332,stops/8356,0
stops/1332,stops/8361,0
stops/1341,stops/3301,0
stops/1341,stops/3302,0
stops/1341,stops/7110,0
stops/1375,stops/6545,0
stops/1375,stops/6578,0
stops/1376,stops/6545,0
stops/1376,stops/6578,0
stops/1379,stops/6630,0
stops/1379,stops/6631,0
stops/1381,stops/6630,0
stops/1381,stops/6631,0
stops/1415,stops/13955,0
stops/1415,stops/13960,0
stops/1416,stops/13955,0
stops/1416,stops/13960,0
stops/1427,stops/6935,0
stops/1427,stops/6936,0
stops/1428,stops/6935,0
stops/1428,stops/6936,0
stops/1435,stops/3301,0
stops/1435,stops/3302,0
stops/1435,stops/7110,0
stops/1458,stops/7445,0
stops/1458,stops/7446,0
stops/1459,stops/7445,0
stops/1459,stops/7446,0
stops/1470,stops/7654,0
stops/1470,stops/7655,0
stops/1471,stops/7678,0
stops/1471,stops/7679,0
stops/1472,stops/7678,0
stops/1472,stops/7679,0
stops/1497,stops/1499,0
stops/1497,stops/7957,0
stops/1497,stops/7958,0
stops/1499,stops/7957,0
stops/1499,stops/7958,0
stops/1519,stops/2467,0
stops/1550,stops/7960,0
stops/1551,stops/7960,0
stops/1551,stops/7961,0
stops/1579,stops/8356,0
stops/1579,stops/8361,0
stops/1580,stops/12867,0
stops/1580,stops/12868,0
stops/1581,stops/12867,0
stops/1581,stops/12868,0
stops/1606,stops/9299,0
stops/1606,stops/13178,0
stops/1611,stops/14035,0
stops/1611,stops/14037,0
stops/1612,stops/8339,0
stops/1612,stops/8378,0
stops/1651,stops/1651,0
stops/1651,stops/1652,0
stops/1652,stops/1651,0
stops/1652,stops/1652,0
stops/1660,stops/4068,0
stops/1660,stops/4069,0
stops/1661,stops/4068,0
stops/1661,stops/4069,0
stops/1665,stops/8262,0
stops/1682,stops/1682,0
stops/1682,stops/1683,0
stops/1683,stops/1682,0
stops/1712,stops/1712,0
stops/1712,stops/1713,0
stops/1713,stops/1712,0
stops/1713,stops/1713,0
stops/1759,stops/7962,0
stops/1759,stops/7963,0
stops/1760,stops/7962,0
stops/1760,stops/7963,0
stops/1764,stops/13129,0
stops/1764,stops/13134,0
stops/1765,stops/10307,0
stops/1766,stops/1766,0
stops/1778,stops/2746,0
stops/1778,stops/2747,0
stops/1787,stops/1787,0
stops/1787,stops/6626,0
stops/1792,stops/4664,0
stops/1792,stops/4666,0
stops/1792,stops/4668,0
stops/1793,stops/7683,0
stops/1793,stops/7684,0
stops/1794,stops/7683,0
stops/1794,stops/7684,0
stops/1818,stops/1818,0
stops/1818,stops/1819,0
stops/1818,stops/7964,0
stops/1818,stops/7965,0
stops/1818,stops/8664,0
stops/1819,stops/1818,0
stops/1819,stops/7964,0
stops/1819,stops/7965,0
stops/1831,stops/1831,0
stops/1831,stops/6398,0
stops/1831,stops/13128,0
stops/1831,stops/13135,0
stops/1831,stops/13236,0
stops/1846,stops/5910,0
stops/1846,stops/5911,0
stops/1847,stops/5910,0
stops/1847,stops/5911,0
stops/1856,stops/6785,0
stops/1856,stops/6786,0
stops/1857,stops/6785,0
stops/1857,stops/6786,0
stops/1862,stops/7190,0
stops/1862,stops/7191,0
stops/1863,stops/7190,0
stops/1863,stops/7191,0
stops/1870,stops/7373,0
stops/1870,stops/7374,0
stops/1871,stops/7373,0
stops/1871,stops/7374,0
stops/1876,stops/7501,0
stops/1876,stops/7512,0
stops/1877,stops/7501,0
stops/1877,stops/7512,0
stops/1890,stops/7732,0
stops/1891,stops/7732,0
stops/1903,stops/5045,0
stops/1903,stops/5125,0
stops/1910,stops/7966,0
stops/1910,stops/7967,0
stops/1911,stops/7966,0
stops/1911,stops/7967,0
stops/1926,stops/1926,0
stops/1926,stops/1927,0
stops/1927,stops/1926,0
stops/1927,stops/1927,0
stops/1930,stops/1929,0
stops/1930,stops/1930,0
stops/1930,stops/6480,0
stops/1930,stops/6481,0
stops/1934,stops/13980,0
stops/1947,stops/1947,0
stops/1993,stops/10323,0
stops/1993,stops/10326,0
stops/1994,stops/10323,0
stops/1994,stops/10326,0
stops/1997,stops/625,0
stops/1997,stops/12805,0
stops/2001,stops/7451,0
stops/2010,stops/6610,0
stops/2010,stops/6611,0
stops/2011,stops/10754,0
stops/2011,stops/10772,0
stops/2015,stops/6516,0
stops/2015,stops/6517,0
stops/2016,stops/6516,0
stops/2016,stops/6517,0
stops/2034,stops/6648,0
stops/2034,stops/6649,0
stops/2065,stops/13948,0
stops/2065,stops/13966,0
stops/2066,stops/13948,0
stops/2066,stops/13966,0
stops/2081,stops/6919,0
stops/2081,stops/6920,0
stops/2086,stops/14035,0
stops/2086,stops/14037,0
stops/2110,stops/7451,0
stops/2110,stops/7452,0
stops/2111,stops/7451,0
stops/2111,stops/7452,0
stops/2127,stops/7818,0
stops/2127,stops/7819,0
stops/2127,stops/8345,0
stops/2127,stops/8372,0
stops/2128,stops/2127,0
stops/2128,stops/7818,0
stops/2128,stops/7819,0
stops/2128,stops/8345,0
stops/2128,stops/8372,0
stops/2147,stops/7972,0
stops/2147,stops/7973,0
stops/2148,stops/7972,0
stops/2148,stops/7973,0
stops/2161,stops/2161,0
stops/2165,stops/605,0
stops/2165,stops/622,0
stops/2167,stops/704,0
stops/2167,stops/2167,0
stops/2170,stops/3633,0
stops/2170,stops/3641,0
stops/2171,stops/2171,0
stops/2171,stops/5933,0
stops/2175,stops/2175,0
stops/2175,stops/8341,0
stops/2175,stops/8375,0
stops/2175,stops/8376,0
stops/2178,stops/6218,0
stops/2195,stops/2195,0
stops/2208,stops/3167,0
stops/2208,stops/9403,0
stops/2209,stops/3167,0
stops/2209,stops/9403,0
stops/2221,stops/4470,0
stops/2221,stops/4471,0
stops/2222,stops/4470,0
stops/2222,stops/4471,0
stops/2253,stops/8357,0
stops/2253,stops/8360,0
stops/2253,stops/10859,0
stops/2266,stops/102,0
stops/2266,stops/103,0
stops/2266,stops/2266,0
stops/2266,stops/2267,0
stops/2267,stops/102,0
stops/2267,stops/103,0
stops/2267,stops/2266,0
stops/2267,stops/2267,0
stops/2272,stops/13067,0
stops/2295,stops/2295,0
stops/2295,stops/9169,0
stops/2295,stops/9185,0
stops/2296,stops/2296,0
stops/2296,stops/9169,0
