_id,route_id,service_id,_key,direction_id,block_id,shape_id,trip_type,wheelchair_accessible
trips/8931472,1,W.535,8931472,0,171,406695,,1
trips/8931473,1,W.535,8931473,0,173,406695,,1
trips/8931474,1,W.535,8931474,0,169,406695,,1
trips/8931475,1,W.535,8931475,0,171,406695,,1
trips/8931476,1,W.535,8931476,0,173,406695,,1
trips/8931477,1,W.535,8931477,0,168,406694,,1
trips/8931478,1,W.535,8931478,0,6470,406694,,1
trips/8931479,1,W.535,8931479,0,170,406694,,1
trips/8931480,1,W.535,8931480,0,172,406694,,1
trips/8931481,1,W.535,8931481,0,168,406694,,1
trips/8931482,1,W.535,8931482,0,170,406694,,1
trips/8931483,1,W.535,8931483,0,172,406694,,1
trips/8931484,1,W.535,8931484,1,171,406697,,1
trips/8931485,1,W.535,8931485,1,173,406697,,1
trips/8931486,1,W.535,8931486,1,169,406697,,1
trips/8931487,1,W.535,8931487,1,167,406697,,1
trips/8931488,1,W.535,8931488,1,171,406697,,1
trips/8931489,1,W.535,8931489,1,173,406697,,1
trips/8931490,1,W.535,8931490,1,169,406697,,1
trips/8931491,1,W.535,8931491,1,171,406697,,1
trips/8931492,1,W.535,8931492,1,173,406697,,1
trips/8931493,1,W.535,8931493,1,170,406696,,1
trips/8931494,1,W.535,8931494,1,172,406696,,1
trips/8931495,1,W.535,8931495,1,168,406696,,1
trips/8931496,1,W.535,8931496,1,170,406696,,1
trips/8931497,1,W.535,8931497,1,172,406696,,1
trips/8955568,1,W.540,8955568,0,171,407784,,1
trips/8955569,1,W.540,8955569,0,173,407784,,1
trips/8955570,1,W.540,8955570,0,169,407784,,1
trips/8955571,1,W.540,8955571,0,171,407784,,1
trips/8955572,1,W.540,8955572,0,173,407784,,1
trips/8955573,1,W.540,8955573,0,168,407783,,1
trips/8955574,1,W.540,8955574,0,6470,407783,,1
trips/8955575,1,W.540,8955575,0,170,407783,,1
trips/8955576,1,W.540,8955576,0,172,407783,,1
trips/8955577,1,W.540,8955577,0,168,407783,,1
trips/8955578,1,W.540,8955578,0,170,407783,,1
trips/8955579,1,W.540,8955579,0,172,407783,,1
trips/8955580,1,W.540,8955580,1,171,407786,,1
trips/8955581,1,W.540,8955581,1,173,407786,,1
trips/8955582,1,W.540,8955582,1,169,407786,,1
trips/8955583,1,W.540,8955583,1,167,407786,,1
trips/8955584,1,W.540,8955584,1,171,407786,,1
trips/8955585,1,W.540,8955585,1,173,407786,,1
trips/8955586,1,W.540,8955586,1,169,407786,,1
trips/8955587,1,W.540,8955587,1,171,407786,,1
trips/8955588,1,W.540,8955588,1,173,407786,,1
trips/8955589,1,W.540,8955589,1,170,407785,,1
trips/8955590,1,W.540,8955590,1,172,407785,,1
trips/8955591,1,W.540,8955591,1,168,407785,,1
trips/8955592,1,W.540,8955592,1,170,407785,,1
trips/8955593,1,W.540,8955593,1,172,407785,,1
trips/8931498,2,S.535,8931498,0,234,406699,,1
trips/8931499,2,S.535,8931499,0,238,406699,,1
trips/8931500,2,S.535,8931500,0,240,406699,,1
trips/8931501,2,S.535,8931501,0,242,406699,,1
trips/8931502,2,S.535,8931502,0,244,406699,,1
trips/8931503,2,S.535,8931503,0,234,406699,,1
trips/8931504,2,S.535,8931504,0,236,406699,,1
trips/8931505,2,S.535,8931505,0,237,406699,,1
trips/8931506,2,S.535,8931506,0,238,406699,,1
trips/8931507,2,S.535,8931507,0,239,406699,,1
trips/8931508,2,S.535,8931508,0,240,406699,,1
trips/8931509,2,S.535,8931509,0,241,406699,,1
trips/8931510,2,S.535,8931510,0,242,406699,,1
trips/8931511,2,S.535,8931511,0,243,406699,,1
trips/8931512,2,S.535,8931512,0,244,406699,,1
trips/8931513,2,S.535,8931513,0,245,406699,,1
trips/8931514,2,S.535,8931514,0,234,406699,,1
trips/8931515,2,S.535,8931515,0,235,406699,,1
trips/8931516,2,S.535,8931516,0,236,406699,,1
trips/8931517,2,S.535,8931517,0,237,406699,,1
trips/8931518,2,S.535,8931518,0,238,406699,,1
trips/8931519,2,S.535,8931519,0,239,406699,,1
trips/8931520,2,S.535,8931520,0,240,406699,,1
trips/8931521,2,S.535,8931521,0,241,406699,,1
trips/8931522,2,S.535,8931522,0,242,406699,,1
trips/8931523,2,S.535,8931523,0,243,406699,,1
trips/8931524,2,S.535,8931524,0,244,406699,,1
trips/8931525,2,S.535,8931525,0,245,406699,,1
trips/8931526,2,S.535,8931526,0,234,406699,,1
trips/8931527,2,S.535,8931527,0,235,406699,,1
trips/8931528,2,S.535,8931528,0,236,406699,,1
trips/8931529,2,S.535,8931529,0,237,406699,,1
trips/8931530,2,S.535,8931530,0,238,406699,,1
trips/8931531,2,S.535,8931531,0,239,406699,,1
trips/8931532,2,S.535,8931532,0,240,406699,,1
trips/8931533,2,S.535,8931533,0,241,406699,,1
trips/8931534,2,S.535,8931534,0,242,406699,,1
trips/8931535,2,S.535,8931535,0,243,406699,,1
trips/8931536,2,S.535,8931536,0,244,406698,,1
trips/8931537,2,S.535,8931537,0,245,406699,,1
trips/8931538,2,S.535,8931538,0,234,406699,,1
trips/8931539,2,S.535,8931539,0,235,406699,,1
trips/8931540,2,S.535,8931540,0,236,406698,,1
trips/8931541,2,S.535,8931541,0,237,406699,,1
trips/8931542,2,S.535,8931542,0,238,406699,,1
trips/8931543,2,S.535,8931543,0,239,406698,,1
trips/8931544,2,S.535,8931544,0,240,406699,,1
trips/8931545,2,S.535,8931545,0,241,406699,,1
trips/8931546,2,S.535,8931546,0,242,406699,,1
trips/8931547,2,S.535,8931547,0,243,406699,,1
trips/8931548,2,S.535,8931548,0,245,406698,,1
trips/8931549,2,S.535,8931549,0,234,406699,,1
trips/8931550,2,S.535,8931550,0,235,406699,,1
trips/8931551,2,S.535,8931551,0,237,406698,,1
trips/8931552,2,S.535,8931552,0,238,406699,,1
trips/8931553,2,S.535,8931553,0,240,406698,,1
trips/8931554,2,S.535,8931554,0,241,406699,,1
trips/8931555,2,S.535,8931555,0,243,406698,,1
trips/8931556,2,S.535,8931556,0,234,406698,,1
trips/8931557,2,S.535,8931557,0,235,406698,,1
trips/8931558,2,S.535,8931558,0,238,406698,,1
trips/8931559,2,S.535,8931559,0,241,406698,,1
trips/8931560,2,U.535,8931560,0,234,406699,,1
trips/8931561,2,U.535,8931561,0,237,406699,,1
trips/8931562,2,U.535,8931562,0,240,406699,,1
trips/8931563,2,U.535,8931563,0,243,406699,,1
trips/8931564,2,U.535,8931564,0,244,406699,,1
trips/8931565,2,U.535,8931565,0,234,406699,,1
trips/8931566,2,U.535,8931566,0,236,406699,,1
trips/8931567,2,U.535,8931567,0,237,406699,,1
trips/8931568,2,U.535,8931568,0,239,406699,,1
trips/8931569,2,U.535,8931569,0,240,406699,,1
trips/8931570,2,U.535,8931570,0,241,406699,,1
trips/8931571,2,U.535,8931571,0,242,406699,,1
trips/8931572,2,U.535,8931572,0,243,406699,,1
trips/8931573,2,U.535,8931573,0,244,406699,,1
trips/8931574,2,U.535,8931574,0,234,406699,,1
trips/8931575,2,U.535,8931575,0,235,406699,,1
trips/8931576,2,U.535,8931576,0,236,406699,,1
trips/8931577,2,U.535,8931577,0,237,406699,,1
trips/8931578,2,U.535,8931578,0,238,406699,,1
trips/8931579,2,U.535,8931579,0,239,406699,,1
trips/8931580,2,U.535,8931580,0,240,406699,,1
trips/8931581,2,U.535,8931581,0,241,406699,,1
