_id,_key,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,route_sort_order
routes/74,74,TRIMET,74,162nd Ave,3,http://trimet.org//schedules/r074.htm,,,7450
routes/75,75,TRIMET,75,Cesar Chavez/Lombard,3,http://trimet.org//schedules/r075.htm,,,7500
routes/76,76,TRIMET,76,Beaverton/Tualatin,3,http://trimet.org//schedules/r076.htm,,,7600
routes/77,77,TRIMET,77,Broadway/Halsey,3,http://trimet.org//schedules/r077.htm,,,7700
routes/78,78,TRIMET,78,Beaverton/Lake Oswego,3,http://trimet.org//schedules/r078.htm,,,7800
routes/79,79,TRIMET,79,Clackamas/Oregon City,3,http://trimet.org//schedules/r079.htm,,,7900
routes/80,80,TRIMET,80,Kane/Troutdale Rd,3,http://trimet.org//schedules/r080.htm,,,8000
routes/81,81,TRIMET,81,Kane/257th,3,http://trimet.org//schedules/r081.htm,,,8100
routes/82,82,TRIMET,82,South Gresham,3,http://trimet.org//schedules/r082.htm,,,8200
routes/84,84,TRIMET,84,Powell Valley/Orient Dr,3,http://trimet.org//schedules/r084.htm,,,8400
routes/85,85,TRIMET,85,Swan Island,3,http://trimet.org//schedules/r085.htm,,,8500
routes/87,87,TRIMET,87,Airport Way/181st,3,http://trimet.org//schedules/r087.htm,,,8600
routes/88,88,TRIMET,88,Hart/198th,3,http://trimet.org//schedules/r088.htm,,,8700
routes/90,90,TRIMET,,MAX Red Line,0,http://trimet.org//schedules/r090.htm,D81526,FFFFFF,120
routes/92,92,TRIMET,92,South Beaverton Express,3,http://trimet.org//schedules/r092.htm,,,8900
routes/93,93,TRIMET,93,Tigard/Sherwood,3,http://trimet.org//schedules/r093.htm,,,9000
routes/94,94,TRIMET,94,Pacific Hwy/Sherwood,3,http://trimet.org//schedules/r094.htm,,,9100
routes/96,96,TRIMET,96,Tualatin/I-5,3,http://trimet.org//schedules/r096.htm,,,9200
routes/97,97,TRIMET,97,Tualatin-Sherwood Rd,3,http://trimet.org//schedules/r097.htm,,,9250
routes/99,99,TRIMET,99,Macadam/McLoughlin,3,http://trimet.org//schedules/r099.htm,,,9300
routes/100,100,TRIMET,,MAX Blue Line,0,http://trimet.org//schedules/r100.htm,084C8D,FFFFFF,100
routes/152,152,TRIMET,152,Milwaukie,3,http://trimet.org//schedules/r152.htm,,,9400
routes/154,154,TRIMET,154,Willamette/Clackamas Heights,3,http://trimet.org//schedules/r154.htm,,,9500
routes/155,155,TRIMET,155,Sunnyside,3,http://trimet.org//schedules/r155.htm,,,9600
routes/156,156,TRIMET,156,Mather Rd,3,http://trimet.org//schedules/r156.htm,,,9700
routes/190,190,TRIMET,,MAX Yellow Line,0,http://trimet.org//schedules/r190.htm,F8C213,000000,130
routes/193,193,PSC,,Portland Streetcar - NS Line,0,http://portlandstreetcar.org/,84BD00,FFFFFF,200
routes/194,194,PSC,,Portland Streetcar - A Loop,0,http://portlandstreetcar.org/,CE0F69,FFFFFF,250
routes/195,195,PSC,,Portland Streetcar - B Loop,0,http://portlandstreetcar.org/,0093B2,FFFFFF,275
routes/200,200,TRIMET,,MAX Green Line,0,http://trimet.org//schedules/r200.htm,008852,FFFFFF,110
routes/203,203,TRIMET,,WES Commuter Rail,2,http://trimet.org//schedules/r203.htm,000000,FFFFFF,150
routes/208,208,TRAM,,Portland Aerial Tram,6,http://www.gobytram.com/,898E91,000000,300
routes/272,272,TRIMET,272,PDX Night Bus,3,http://trimet.org//schedules/r272.htm,,,9800
routes/290,290,TRIMET,,MAX Orange Line,0,http://trimet.org//schedules/r290.htm,F58220,000000,115
routes/291,291,TRIMET,291,Orange Night Bus,3,http://trimet.org//schedules/r291.htm,,,9850
